sentence,is_related
"A dragon's shadow swept across the village, casting an ominous veil over the sunlit fields.",True
"In the heart of the enchanted forest, ancient trees whispered secrets older than time itself.",True
"The wizard's tower stood tall against the stormy sky, its spire crackling with arcs of blue lightning.",True
"Elara clutched the moonstone pendant, feeling its warmth pulse in time with her racing heart.",True
"The air shimmered with magic as the unicorn stepped gracefully into the clearing, its mane flowing like liquid silver.",True
"Beneath the castle's crumbling battlements, the ghostly knight stood guard, a spectral sentinel of a forgotten age.",True
"Mara's fingers danced over the harp strings, weaving a melody that summoned the spirits of the wind.",True
"Hidden beneath the waves, the kingdom of Atlantis glistened with buildings of coral and streets paved with pearls.",True
"The potion bubbled ominously in the cauldron, releasing a fragrant mist that promised both power and peril.",True
"In the shadow of the Emerald Mountain, prophecies spoke of a hero who would rise to unite the fractured realms.",True
"Dragons soared above the chasm, their scales glinting like jewels in the pale dawn light.",True
"The elf queen's gaze was as cold and unforgiving as the winter snows that blanketed her realm.",True
"A single flame burned brightly on the altar, an eternal light in the temple of the sun goddess.",True
"Guided by the stars and the ancient map, the adventurers set sail toward the lost Isle of Wonders.",True
"Underneath the silver glow of the twin moons, the ancient stone circle hummed with a forgotten power.",True
"The elven sorceress, with eyes like emerald fire, whispered secrets to the winds that danced through the Enchanted Wood.",True
"High atop the jagged peaks of the Dragonspine Mountains, the last of the sky dragons spread its wings against the dawn's embrace.",True
"Within the labyrinth of crystal caves, echoes of a long-lost song beckoned the hero toward a destiny entwined with magic and mystery.",True
"The sea glimmered with the scales of merfolk as they wove through the underwater ruins of a city lost to time.",True
"Beware the shadowed path, for it is said that the spectral knights of the Forgotten Realm still guard their cursed treasure.",True
"In the heart of the ancient library, where the air tasted of dust and knowledge, the tome of forbidden spells lay waiting.",True
"A single feather from the phoenix was all that was needed to ignite the fires of hope in the hearts of the weary villagers.",True
"As the sun dipped below the horizon, the cursed castle emerged from the mist, its haunted halls echoing with distant screams.",True
"The young apprentice, armed with only a staff and a heart full of courage, ventured into the realm of dreams to unravel the riddle of the stars.",True
"The ancient dragon, scales shimmering like molten gold, unfurled its massive wings and rose to greet the dawn.",True
