category,accuracy,precision,recall,f1
plants,0.99,0.98,1.00,0.99
medicine,0.98,0.96,1.00,0.98
phones,1.00,1.00,1.00,1.00
religion,0.99,0.98,1.00,0.99
wars,0.98,0.96,1.00,0.98
fantasy,0.99,0.98,1.00,0.99
cities,0.98,0.96,1.00,0.98
weather,0.99,0.98,1.00,0.99
fruit,1.00,1.00,1.00,1.00
animal,0.99,0.98,1.00,0.99
mountains,0.96,0.92,1.00,0.96
sentence_100,0.51,0.51,0.38,0.44
sentence_25,0.50,0.50,0.71,0.59
sentence_decimal,0.58,0.31,0.17,0.22
sentence_comma,0.45,0.43,0.36,0.40
sentence_special,0.51,0.51,0.58,0.54
