sentence,is_related
"Metformin is often the first-line treatment for type 2 diabetes, helping to control blood sugar levels by improving the body's sensitivity to insulin.",True
"The soothing scent of eucalyptus oil can provide temporary relief from congestion and respiratory discomfort.",True
"After her knee surgery, she diligently attended physical therapy sessions to regain strength and mobility.",True
"Penicillin, discovered by Alexander Fleming, revolutionized the treatment of bacterial infections in the 20th century.",True
"For patients struggling with severe depression, electroconvulsive therapy (ECT) has been shown to be an effective treatment option.",True
"Administering vaccines helps to build immunity and protect communities from the spread of infectious diseases.",True
"Every morning, John takes his prescribed blood pressure medication, lisinopril, with a glass of water.",True
"Chemotherapy targets rapidly dividing cancer cells, but can also affect healthy cells, leading to side effects such as fatigue and nausea.",True
"The herbal remedy, St. John's Wort, is often used as a natural treatment for mild to moderate depression, though it can interact with other medications.",True
"Inhalers are a life-saving tool for individuals with asthma, providing quick relief during an attack by opening the airways.",True
"Probiotics can support digestive health by introducing beneficial bacteria into the gut, potentially improving symptoms of irritable bowel syndrome.",True
"Antibiotic resistance is a growing concern in medicine, necessitating the judicious use of antibiotics to preserve their efficacy.",True
"Acupuncture, an ancient practice, involves inserting thin needles into the skin to alleviate pain and promote overall health.",True
"The newly developed monoclonal antibody treatment shows promise in targeting specific cancer cells while sparing healthy tissue.",True
"Over-the-counter antihistamines like loratadine can help manage symptoms of allergies, such as sneezing and itching.",True
"Lisinopril is often prescribed to manage high blood pressure, offering a reliable option for many patients.",True
"In the brightly lit room, the doctor explained how insulin therapy could help balance Sarah's blood sugar levels.",True
"While discussing the potential side effects, Dr. Martinez emphasized that adherence to chemotherapy schedules is crucial for its effectiveness.",True
"Fluoxetine, commonly known as Prozac, is often used to treat depression by increasing serotonin levels in the brain.",True
"In the quiet of the hospital ward, the rhythmic beeping of a heart monitor reassured Rachel that the pacemaker was functioning properly.",True
"Acupuncture, an ancient Chinese practice, has gained popularity as a complementary treatment for chronic pain.",True
"The vivid color of turmeric in the supplement aisle is a reminder of its anti-inflammatory properties, often touted for joint health.",True
"During the consultation, the dermatologist recommended a topical retinoid to help clear up stubborn acne.",True
"After the surgery, a regimen of physical therapy was prescribed to help Andrew regain strength and mobility in his injured knee.",True
"Vaccination remains one of the most effective methods to prevent the spread of infectious diseases, safeguarding public health.",True
"In the serene setting of the garden, the scent of lavender seemed to complement the holistic approach to stress reduction and wellness.",True
"Nitroglycerin is a common medication used to treat angina by relaxing and widening blood vessels to improve blood flow.",True
"With meticulous attention, the pharmacist explained the importance of taking antibiotics as directed to prevent resistance.",True
"The crisp white lab coats in the research facility symbolize the ongoing quest to find a cure for Alzheimer's disease.",True
"In the realm of autoimmune disorders, biologic therapies have become a beacon of hope for many patients.",True
"A soothing cup of chamomile tea may provide a gentle remedy for those seeking natural relief from insomnia.",True
"As dawn broke over the horizon, the steady hum of the dialysis machines marked the start of another day for patients in need of renal support.",True
"The vibrant poster in the clinic encourages regular exercise and a balanced diet as foundations for a healthy lifestyle.",True
"In recent years, telemedicine has emerged as a vital tool in providing healthcare access to remote and underserved communities.",True
"The gentle hum of the MRI machine enveloped the room as the radiologist prepared to examine the patient's brain.",True
"The new biologic agent, Dupixent, has shown remarkable efficacy in reducing the symptoms of atopic dermatitis, offering hope to patients who have struggled with conventional treatments.",True
"Every morning, the elderly man faithfully took his Warfarin, a blood thinner, to prevent the formation of dangerous clots.",True
"Radiation therapy, carefully calibrated by specialists, targets malignant cells while sparing as much healthy tissue as possible, showcasing the precision of modern oncology.",True
"Dr. Hernandez emphasized the importance of lifestyle modifications, such as exercise and dietary changes, in managing type 2 diabetes alongside Metformin.",True
"As the sun set over the bustling city, Maria sat silently on her porch, inhaler in hand, ready to combat the asthma that often accompanied the evening air.",True
"In the clinical trials, the novel antiviral, Remdesivir, demonstrated a significant reduction in recovery time for patients afflicted with severe COVID-19.",True
"The soothing scent of lavender filled the room as the massage therapist applied essential oils, complementing the client's physiotherapy regimen for chronic back pain.",True
"After his heart attack, the cardiologist prescribed Atorvastatin, a statin medication, to help lower LDL cholesterol levels and reduce the risk of future cardiovascular events.",True
"In pediatric wards, the cheerful walls and playful decorations often conceal the intricate dance of treatment protocols, where antibiotics are meticulously administered to fight infections in young patients.",True
"At the heart of the bustling emergency department, the swift yet steady administration of Naloxone reversed the life-threatening effects of opioid overdose in mere moments.",True
"Eliquis, an anticoagulant, provides a critical lifeline for individuals with atrial fibrillation, helping to prevent strokes without the dietary restrictions associated with older medications.",True
"In a serene clinic nestled at the edge of a lush forest, patients receive acupuncture sessions, an ancient practice now integrated with modern pain management strategies.",True
"Surrounded by towering shelves of pill bottles, the pharmacist diligently verified prescriptions, ensuring that each patient's regimen of antihypertensives and diuretics was precisely tailored.",True
"The bright, sterile lab was filled with scientists, all focused intently on their tasks, as they worked to develop the next generation of vaccines to combat emerging infectious diseases.",True
"With each precise incision, the surgeon skillfully navigated the intricacies of the human body, removing a malignant tumor while preserving vital functions.",True
"Usually they were fed these dried varieties of hay 4-5 times per day, plus they spent all day grazing in the grass.",False
"Although common to Gnosticism and other mystery religions, the Bible knows no such Charismatic concept of edification apart from understanding.",False
"Soon we dropped into a living forest, where cold-tolerant evergreens and boreal animals still evoke the Canadian heritage of an ecosystem pushed south by glaciers 20,000 years ago.",False
"It is more important to think about a 5th Dimension than what the anti particle is because most theories predict anti gravity in the 5th dimension (or higher dimensions depending on whose model is used).",False
"The first and most important idea behind lunar gardening is to use the waxing and waning phases as your guide.",False
"Due diligence is a legal notion that applies in many contexts across industries.",False
"Mind and nescience are the same thing and are negative.",False
"The Arkansas State Library strives to enrich the lives of Arkansans through programs and services that address the needs of targeted audiences with difficulties using a library.",False
"Initially, most surveys involve sampling for temperature and relative humidity.",False
"The Islamic Republic of Iran continues their attack on human rights violations, persecute political activists, sponsors of terrorism, refuse to recognize the State of Israel and continue to aspirate to create nuclear weapons.",False
"The particles and the antiparticles are the components of the life flux.",False
"It also sets price controls and standards to regulate areas of the gas and electricity industry where competition is not effective.",False
"More working parents have taken jobs as cashiers, maids, waiters and other low-wage jobs in fast growing sectors that offer fewer hours and benefits, according to The Working Poor Project, a privately funded effort aimed at improving economic security for low-income families.",False
"There are four kinds of cockroaches which usually cause problems in households around the UK and require thorough cockroach pest control procedures.",False
"Adhesive layer 44 is relatively thin in comparison with the thickness of semiconductor die 50.",False
"One example Espingardeiro points to is NASA's 'Robonaut' which utilises highly sophisticated dexterous touch that would enable precise control far away from dangerous areas, with particular use in the Japanese case.",False
"Nestled in the tranquil mountains of Sahyadri range and the Western Ghats, Maharashtra is home to several hill stations with pristine natural beauty and peaceful surrounding.",False
"Unless the New Jersey Supreme Court steps in, or other forces are brought to bear, the bulldozers will continue to destroy George Washington's Princeton battlefield—the site that saved the American Revolution.",False
"Many Americans use charcoal based grills in order to prepare delicious food.",False
"Satellite Launch Will Lead to Wider AT&T Coverage AT&T Mobility should achieve true nationwide coverage by the end of this year after it introduces a planned service that utilizes both satellite and cellular service.",False
"This includes the terraforming of planets including moons, for example of Jupiter and Saturn.",False
"Local landowners have also played a key role.",False
"They are a good source of protein and fiber.",False
"When students realize that they lack knowledge or time to perform their culminating project, they start seeking help online.",False
"With a MERV 11 value, it efficiently traps airborne particles such as dust, pollen, dust mites, animal dander, lead dust, mold spores, car fumes and other particles as small as 1.0 microns while allowing a free flow of fresh cleaner air.",False
"Teens and young adults can relieve stress by playing video games.",False
"During the summer tourism period thousands of tourists visit it every day.",False
"There are many cases in the Bible when prominent Jews bowed to kings such as the prophet Natan bowing to David (Melachim 1:1:23) and Yosef's brothers bowing to Yosef (Breishit 42:6).",False
"Wireless connection is also an uncomplicated, two-stage process, where the printer is first logged onto the cordless network, making use of WPA or WPS.",False
"Much of the rest of this chapter details other freely available tools that you can use to protect your network and your wireless users against these attacks.",False
"The two triangles, for instance, into which a square is divided by a diagonal, do by themselves not necessarily belong to each other.",False
"Neither ACE nor individual teachers and administrators who understand the importance of climate change education can work in a vacuum, however.",False
"It will be thought through very carefully and become part of the Quadrennial Defense Review.",False
"With SkyDrive, Microsoft takes a slightly more traditional approach: Using SkyDrive involves running a separate app through which you can access all of your SkyDrive-stored files.",False
"The judging committee declared that Drell's well crafted study richly expands understanding of the ways a dominant family and kinship group could assimilate itself successfully in a world remote from its geographical origins.",False
"Sometimes, the parties seek to put documents or other items into evidence, and there are many evidence rules in place to make sure that the item in evidence is the original evidence, or at least an accurate copy.",False
"Figuring out the long range can be a very frustrating exercise.",False
"Labour that has to be paid for from the amount we get from recycling those magnets.",False
"Vignetting means the center of the image is brighter than the edges and especially the corners, due to the light falloff.",False
"In Ohio, the Lincoln Highway linked many towns and cities together, including Canton, Mansfield, Wooster, Lima, and Van Wert.",False
"When fully grown how much on average does a German Australian Shepherd weigh?",False
"For decades, economists had devised policy prescriptions based on faulty assumptions of perfect competition, complete information, and, although it wasn't framed in these terms, zero transaction costs.",False
"And when they find out that their participation influenced the outcome, then they will have a sense of accomplishment that is no different from those citizens in democratic countries who have elected their own leaders.",False
"On the morning of August 9, 1947, there was a message from Pakistan's first Governor-General, Mohammad Ali Jinnah.",False
"As GIS becomes all-pervasive with millions across the world using maps every day, the year ahead looks super exciting for the geospatial industry.",False
"The kubectl create command takes a YAML definition and instructs the master to start the controller.",False
"The Linnean 18(4): 22-23. .",False
"The topics included in the Internet Safety and Financial Education for children, require computer laboratories, or at least a projector for the lectures.",False
"By imposing such a requirement, IBM could use punch-card purchases to meter the demand for tabulating machines.",False
"They are called the Indus-Sarasvati civilization or, sometimes, the Harappan culture.",False
