sentence,is_related
"The thunderstorm rumbled ominously in the distance, promising a night of flashes and fury.",True
"Bright rays of sunshine broke through the early morning mist, illuminating the dewdrops on the grass like countless tiny diamonds.",True
"Hurricane Ian carved a path of destruction across the coastline, leaving communities to rebuild from the rubble.",True
"As arctic air masses surged southward, temperatures plummeted to record lows, freezing lakes and shutting down cities.",True
"The gentle patter of rain on the roof was a soothing lullaby, drawing drowsy residents into deep slumber.",True
"In the vast desert, a sudden sandstorm whipped across the landscape, reducing visibility to mere meters and reshaping the dunes.",True
"Meteorologists predict an El Niño event this year, with its potential to disrupt global precipitation patterns significantly.",True
"Soft flakes of snow began to fall, blanketing the town in a serene white silence that muffled all sound.",True
"With the relentless heatwave persisting, advisories were issued urging people to stay hydrated and avoid the outdoors during peak hours.",True
"Cloud formations tell tales of upcoming storms, their towering cumulonimbus clouds painting ominous pictures in the sky.",True
"A rainbow arched gracefully across the sky, a fleeting bridge of color following the afternoon shower.",True
"The monsoon season arrived with a vengeance, turning roads into rivers and fields into lakes as the deluge continued unabated.",True
"Sweltering humidity clung to the air like a damp blanket, making even the slightest exertion an effort.",True
"The aurora borealis danced across the night sky in a spectacular display of greens and purples, mesmerizing all who gazed upwards.",True
"Tornadoes, with their fearsome spirals, are nature's most unpredictable force, leaving behind trails of devastation.",True
"Drought has gripped the region for months, parching the land and stressing water supplies to their limits.",True
"As the typhoon approached, coastal villages braced themselves, securing homes and evacuating vulnerable populations.",True
"The permafrost, which had remained frozen for millennia, is now melting, revealing ancient secrets and endangering infrastructure.",True
"A crisp autumn breeze rustled the leaves, carrying with it the scent of change and the promise of cooler days.",True
"The climate summit focused on the urgent need to address rising sea levels and their impact on vulnerable island nations.",True
"The sky darkened ominously as the thunderstorm approached, its rumbling echoing through the vastness of the open fields.",True
"In the wake of the torrential downpour, rivers swelled beyond their banks, transforming the landscape into a series of shimmering lakes.",True
"A gentle breeze carried the scent of spring blossoms, heralding the arrival of warmer days and the retreat of winter's chill.",True
"Scientists have observed that the El Niño phenomenon can lead to significant shifts in global precipitation patterns, impacting agriculture and water supplies.",True
"As dawn broke, sunlight filtered through the dewy grass, casting a golden hue over the tranquil countryside.",True
"The intensity of the hurricane was staggering, with wind speeds exceeding 150 miles per hour, rendering the city unrecognizable in its aftermath.",True
"In arid regions, the scarcity of rainfall necessitates the development of advanced irrigation techniques to sustain agricultural productivity.",True
"A veil of mist hung low over the valley, enveloping the landscape in a mysterious, ethereal gray.",True
"The relentless heat wave, stretching on for weeks, strained power grids and tested the resilience of communities across the region.",True
"A rainbow arched gracefully across the sky, a vivid reminder of the storm that had just passed and the promise of clearer skies ahead.",True
"Lightning danced across the evening sky, casting fleeting shadows on the tranquil lake below.",True
"The relentless drought has left fields parched and farmers desperate for relief.",True
"An intricate choreography, the swirling snowflakes created a mesmerizing ballet against the backdrop of the moonlit night.",True
"Tropical cyclones, fueled by warm oceanic surfaces, manifest their fury with devastating winds and torrential rains.",True
"The gentle rustling of leaves signaled a shift in the breeze, hinting at the approaching coolness of autumn.",True
"Meteorologists monitored the towering cumulonimbus clouds, knowing they heralded the potential for severe thunderstorms.",True
"In the heart of the Sahara, the sun rises with an intensity that can toast the sand by midday.",True
"The aurora borealis painted the Arctic sky with hues of green and purple, a mesmerizing display of nature's artistry.",True
"High-pressure systems are typically associated with clear skies and calm conditions, while their low-pressure counterparts often bring rain.",True
"El Niño events disrupt global climate patterns, influencing weather systems far beyond the Pacific.",True
"A misty veil enveloped the valley at dawn, softening the outlines of the distant hills and casting a serene, ethereal glow.",True
"The sound of raindrops tapping against the windows was a lullaby that soothed her into a peaceful sleep.",True
"During the spring equinox, the length of day and night remains roughly equal, heralding a time of renewal and growth.",True
"The monsoon rains arrived with a vengeance, transforming dry riverbeds into raging torrents within hours.",True
"Frost adorned the grass with delicate crystals, each blade transformed into a work of icy art as dawn broke.",True
"Hurricanes derive their strength from the warm, moist air over tropical waters, growing into powerful engines of destruction.",True
"The heatwave stretched on, breaking records and testing the resilience of both people and infrastructure.",True
"A dense fog rolled in from the sea, obscuring the lighthouse and swallowing the coastline in its ghostly embrace.",True
"Thunder echoed ominously across the valley as dark clouds gathered overhead.",True
"A gentle breeze whispered through the sunlit meadow, carrying the sweet scent of blooming wildflowers.",True
"More working parents have taken jobs as cashiers, maids, waiters and other low-wage jobs in fast growing sectors that offer fewer hours and benefits, according to The Working Poor Project, a privately funded effort aimed at improving economic security for low-income families.",False
"A fidelity bond, also known as an employee dishonesty bond or business service bond is a bond that covers a business's client if one of your employees steals from them.",False
"The brain changes based on how it is used, so it is possible that acting in a partisan way prompts the differences.",False
